Ezr 1:1
ἀναβῆναι VZ--AAN--- βαίνω ἀνα
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Ezr 1:6
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κυκλόθεν D--------- κυκλόθεν
ἐνίσχυσαν VA--AAPASN ἰσχύω ἐν
ἐν P--------- ἐν
χερσὶν N3--DPF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
σκεύεσιν N3E-DPN--- σκεῦος
ἀργυρίου N2N-GSN--- ἀργύριον
ἐν P--------- ἐν
χρυσῷ A1C-DSM--- χρυσοῦς
ἐν P--------- ἐν
ἀποσκευῇ N1--DSF--- ἀποσκευή
καὶ C--------- καί
ἐν P--------- ἐν
κτήνεσιν N3E-DPN--- κτῆνος
καὶ C--------- καί
ἐν P--------- ἐν
ξενίοις N2N-DPN--- ξένιον
πάρεξ P--------- πάρεξ
τῶν RA--GPM--- ὁ
ἐν P--------- ἐν
ἑκουσίοις A1A-DPM--- ἑκούσιος

Ezr 1:7
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Κῦρος N2--NSM--- Κῦρος
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
οἴκου N2--GSM--- οἶκος
κυρίου N2--GSM--- κύριος
ἃ RR--APN--- ὅς
ἔλαβεν VBI-AAI3S- λαμβάνω
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ἀπὸ P--------- ἀπό
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός

Ezr 1:8
καὶ C--------- καί
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
αὐτὰ RD--APN--- αὐτός
Κῦρος N2--NSM--- Κῦρος
βασιλεὺς N3V-NSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
Μιθραδάτου N1M-GSM--- Μιθραδάτης
γασβαρηνου N2--GSM--- γασβαρηνός
καὶ C--------- καί
ἠρίθμησεν VAI-AAI3S- ἀριθμέω
αὐτὰ RD--APN--- αὐτός
τῷ RA--DSM--- ὁ
Σασαβασαρ N---DSM--- Σασαβασαρ
ἄρχοντι N3--DSM--- ἄρχων
τοῦ RA--GSM--- ὁ
Ιουδα N---GSM--- Ἰουδά

Ezr 1:9
καὶ C--------- καί
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
ἀριθμὸς N2--NSM--- ἀριθμός
αὐτῶν RD--GPM--- αὐτός
ψυκτῆρες N3H-NPM--- ψυκτήρ
χρυσοῖ A1C-NPM--- χρυσοῦς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ψυκτῆρες N3H-NPM--- ψυκτήρ
ἀργυροῖ A1C-NPM--- ἀργυροῦς
χίλιοι A1A-NPM--- χίλιοι
παρηλλαγμένα VK--XMPAPN ἀλλάσσω παρα
ἐννέα M--------- ἐννέα
καὶ C--------- καί
εἴκοσι M--------- εἴκοσι

Ezr 1:10
κεφφουρη N3--NPN--- κεφφουρῆς
χρυσοῖ A1C-NPM--- χρυσοῦς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἀργυροῖ A1C-NPM--- ἀργυροῦς
διακόσιοι A1A-NPM--- διακόσιοι
καὶ C--------- καί
σκεύη N3E-NPN--- σκεῦος
ἕτερα A1A-NPN--- ἕτερος
χίλια A1A-NPN--- χίλιοι

Ezr 1:11
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
σκεύη N3E-NPN--- σκεῦος
τῷ RA--DSM--- ὁ
χρυσῷ A1C-DSM--- χρυσοῦς
καὶ C--------- καί
τῷ RA--DSM--- ὁ
ἀργύρῳ N2--DSM--- ἄργυρος
πεντακισχίλια A1A-NPN--- πεντακισχίλιοι
καὶ C--------- καί
τετρακόσια A1A-NPN--- τετρακόσιοι
τὰ RA--NPN--- ὁ
πάντα A3--NPN--- πᾶς
ἀναβαίνοντα V1--PAPASM βαίνω ἀνα
μετὰ P--------- μετά
Σασαβασαρ N---GSM--- Σασαβασαρ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἀποικίας N1A-GSF--- ἀποικία
ἐκ P--------- ἐκ
Βαβυλῶνος N3W-GSF--- Βαβυλών
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ

Ezr 2:1
καὶ C--------- καί
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τῆς RA--GSF--- ὁ
χώρας N1A-GSF--- χώρα
οἱ RA--NPM--- ὁ
ἀναβαίνοντες V1--PAPNPM βαίνω ἀνα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
ἀποικίας N1A-GSF--- ἀποικία
ἧς RR--GSF--- ὅς
ἀπῴκισεν VAI-AAI3S- οἰκίζω ἀπο
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
καὶ C--------- καί
ἐπέστρεψαν VAI-AAI3P- στρέφω ἐπι
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
Ιουδα N---ASM--- Ἰουδά
ἀνὴρ N3--NSM--- ἀνήρ
εἰς P--------- εἰς
πόλιν N3I-ASF--- πόλις
αὐτοῦ RD--GSM--- αὐτός

Ezr 2:2
οἳ RR--NPM--- ὅς
ἦλθον VBI-AAI3P- ἔρχομαι
μετὰ P--------- μετά
Ζοροβαβελ N---GSM--- Ζοροβαβελ
Ἰησοῦς N---NSM--- Ἰησοῦς
Νεεμιας N---NSM--- Νεεμιας
Σαραιας N---NSM--- Σαραιας
Ρεελιας N---NSM--- Ρεελιας
Μαρδοχαιος N---NSM--- Μαρδοχαιος
Βαλασαν N---NSM--- Βαλασαν
Μασφαρ N---NSM--- Μασφαρ
Βαγουι N---NSM--- Βαγουι
Ρεουμ N---NSM--- Ρεουμ
Βαανα N---NSM--- Βαανα
ἀνδρῶν N3--GPM--- ἀνήρ
ἀριθμὸς N2--NSM--- ἀριθμός
λαοῦ N2--GSM--- λαός
Ισραηλ N---GSM--- Ἰσραήλ

Ezr 2:3
υἱοὶ N2--NPM--- υἱός
Φορος N---GSM--- Φορος
δισχίλιοι A1A-NPM--- δισχίλιοι
ἑκατὸν M--------- ἑκατόν
ἑβδομήκοντα M--------- ἑβδομήκοντα
δύο M--------- δύο

Ezr 2:4
υἱοὶ N2--NPM--- υἱός
Σαφατια N---GSM--- Σαφατια
τριακόσιοι A1A-NPM--- τριακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
δύο M--------- δύο

Ezr 2:5
υἱοὶ N2--NPM--- υἱός
Ηρα N---GSM--- Ηρα
ἑπτακόσιοι A1--NPM--- ἑπτακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
πέντε M--------- πέντε

Ezr 2:6
υἱοὶ N2--NPM--- υἱός
Φααθμωαβ N---GSM--- Φααθμωαβ
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ιησουε N---GSM--- Ιησουε
Ιωαβ N---GSM--- Ιωαβ
δισχίλιοι A1A-NPM--- δισχίλιοι
ὀκτακόσιοι A1A-NPM--- ὀκτακόσιοι
δέκα M--------- δέκα
δύο M--------- δύο

Ezr 2:7
υἱοὶ N2--NPM--- υἱός
Αιλαμ N---GSM--- Αιλαμ
χίλιοι A1A-NPM--- χίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
πεντήκοντα M--------- πεντήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Ezr 2:8
υἱοὶ N2--NPM--- υἱός
Ζαθουα N---GSM--- Ζαθουα
ἐννακόσιοι A1--NPM--- ἐννακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
πέντε M--------- πέντε

Ezr 2:9
υἱοὶ N2--NPM--- υἱός
Ζακχου N---GSM--- Ζακχου
ἑπτακόσιοι A1--NPM--- ἑπτακόσιοι
ἑξήκοντα M--------- ἑξήκοντα

Ezr 2:10
υἱοὶ N2--NPM--- υἱός
Βανουι N---GSM--- Βανουι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
δύο M--------- δύο

Ezr 2:11
υἱοὶ N2--NPM--- υἱός
Βαβι N---GSM--- Βαβι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς

Ezr 2:12
υἱοὶ N2--NPM--- υἱός
Ασγαδ N---GSM--- Ασγαδ
τρισχίλιοι A1A-NPM--- τρισχίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
εἴκοσι M--------- εἴκοσι
δύο M--------- δύο

Ezr 2:13
υἱοὶ N2--NPM--- υἱός
Αδωνικαμ N---GSM--- Αδωνικαμ
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
ἑξήκοντα M--------- ἑξήκοντα
ἕξ M--------- ἕξ

Ezr 2:14
υἱοὶ N2--NPM--- υἱός
Βαγοι N---GSM--- Βαγοι
δισχίλιοι A1A-NPM--- δισχίλιοι
πεντήκοντα M--------- πεντήκοντα
ἕξ M--------- ἕξ

Ezr 2:15
υἱοὶ N2--NPM--- υἱός
Αδιν N---GSM--- Αδιν
τετρακόσιοι A1A-NPM--- τετρακόσιοι
πεντήκοντα M--------- πεντήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Ezr 2:16
υἱοὶ N2--NPM--- υἱός
Ατηρ N---GSM--- Ατηρ
τῷ RA--DSM--- ὁ
Εζεκια N---DSM--- Εζεκια
ἐνενήκοντα M--------- ἐνενήκοντα
ὀκτώ M--------- ὀκτώ

Ezr 2:17
υἱοὶ N2--NPM--- υἱός
Βασου N---GSM--- Βασου
τριακόσιοι A1A-NPM--- τριακόσιοι
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς

Ezr 2:18
υἱοὶ N2--NPM--- υἱός
Ιωρα N---GSM--- Ιωρα
ἑκατὸν M--------- ἑκατόν
δέκα M--------- δέκα
δύο M--------- δύο

Ezr 2:19
υἱοὶ N2--NPM--- υἱός
Ασεμ N---GSM--- Ασεμ
διακόσιοι A1A-NPM--- διακόσιοι
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς

Ezr 2:20
υἱοὶ N2--NPM--- υἱός
Γαβερ N---GSM--- Γαβερ
ἐνενήκοντα M--------- ἐνενήκοντα
πέντε M--------- πέντε

Ezr 2:21
υἱοὶ N2--NPM--- υἱός
Βαιθλεεμ N---GSM--- Βαιθλεεμ
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς

Ezr 2:22
υἱοὶ N2--NPM--- υἱός
Νετωφα N---GSM--- Νετωφα
πεντήκοντα M--------- πεντήκοντα
ἕξ M--------- ἕξ

Ezr 2:23
υἱοὶ N2--NPM--- υἱός
Αναθωθ N---GSM--- Αναθωθ
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ὀκτώ M--------- ὀκτώ

Ezr 2:24
υἱοὶ N2--NPM--- υἱός
Ασμωθ N---GSM--- Ασμωθ
τεσσαράκοντα M--------- τεσσαράκοντα
δύο M--------- δύο

Ezr 2:25
υἱοὶ N2--NPM--- υἱός
Καριαθιαριμ N---GPM--- Καριαθιαριμ
Καφιρα N---GSM--- Καφιρα
καὶ C--------- καί
Βηρωθ N---GSM--- Βηρωθ
ἑπτακόσιοι A1A-NPM--- ἑπτακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
τρεῖς M---NPM--- τρεῖς

Ezr 2:26
υἱοὶ N2--NPM--- υἱός
Αραμα N---GSM--- Αραμα
καὶ C--------- καί
Γαβαα N---GSM--- Γαβαα
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
εἴκοσι M--------- εἴκοσι
εἷς M---NSM--- εἷς

Ezr 2:27
ἄνδρες N3--NPM--- ἀνήρ
Μαχμας N---GSM--- Μαχμας
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
δύο M--------- δύο

Ezr 2:28
ἄνδρες N3--NPM--- ἀνήρ
Βαιθηλ N---GSM--- Βαιθηλ
καὶ C--------- καί
Αια N---GSM--- Αια
τετρακόσιοι A1A-NPM--- τετρακόσιοι
εἴκοσι M--------- εἴκοσι
τρεῖς M---NPM--- τρεῖς

Ezr 2:29
υἱοὶ N2--NPM--- υἱός
Ναβου N---GSM--- Ναβου
πεντήκοντα M--------- πεντήκοντα
δύο M--------- δύο

Ezr 2:30
υἱοὶ N2--NPM--- υἱός
Μαγεβως N---GSM--- Μαγεβως
ἑκατὸν M--------- ἑκατόν
πεντήκοντα M--------- πεντήκοντα
ἕξ M--------- ἕξ

Ezr 2:31
υἱοὶ N2--NPM--- υἱός
Ηλαμ-αρ N---GSM--- Ηλαμαρ
χίλιοι A1A-NPM--- χίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
πεντήκοντα M--------- πεντήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Ezr 2:32
υἱοὶ N2--NPM--- υἱός
Ηραμ N---GSM--- Ηραμ
τριακόσιοι A1A-NPM--- τριακόσιοι
εἴκοσι M--------- εἴκοσι

Ezr 2:33
υἱοὶ N2--NPM--- υἱός
Λοδ N---GSM--- Λοδ
Αρωθ N---GSM--- Αρωθ
καὶ C--------- καί
Ωνω N---GSM--- Ωνω
ἑπτακόσιοι A1A-NPM--- ἑπτακόσιοι
εἴκοσι M--------- εἴκοσι
πέντε M--------- πέντε

Ezr 2:34
υἱοὶ N2--NPM--- υἱός
Ιεριχω N---GSM--- Ιεριχω
τριακόσιοι A1A-NPM--- τριακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
πέντε M--------- πέντε

Ezr 2:35
υἱοὶ N2--NPM--- υἱός
Σαναα N---GSM--- Σαναα
τρισχίλιοι A1A-NPM--- τρισχίλιοι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι
τριάκοντα M--------- τριάκοντα

Ezr 2:36
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
υἱοὶ N2--NPM--- υἱός
Ιεδουα N---GSM--- Ιεδουα
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ἰησοῦ N---GSM--- Ἰησοῦς
ἐννακόσιοι A1--NPM--- ἐννακόσιοι
ἑβδομήκοντα M--------- ἑβδομήκοντα
τρεῖς M---NPM--- τρεῖς

Ezr 2:37
υἱοὶ N2--NPM--- υἱός
Εμμηρ N---GSM--- Εμμηρ
χίλιοι A1A-NPM--- χίλιοι
πεντήκοντα M--------- πεντήκοντα
δύο M--------- δύο

Ezr 2:38
υἱοὶ N2--NPM--- υἱός
Φασσουρ N---GSM--- Φασσουρ
χίλιοι A1A-NPM--- χίλιοι
διακόσιοι A1A-NPM--- διακόσιοι
τεσσαράκοντα M--------- τεσσαράκοντα
ἑπτά M--------- ἑπτά

Ezr 2:39
υἱοὶ N2--NPM--- υἱός
Ηρεμ N---GSM--- Ηρεμ
χίλιοι A1A-NPM--- χίλιοι
ἑπτά M--------- ἑπτά

Ezr 2:40
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευείτης
υἱοὶ N2--NPM--- υἱός
Ἰησοῦ N---GSM--- Ἰησοῦς
καὶ C--------- καί
Καδμιηλ N---GSM--- Καδμιηλ
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ωδουια N---GSM--- Ωδουια
ἑβδομήκοντα M--------- ἑβδομήκοντα
τέσσαρες A3--NPM--- τέσσαρες

Ezr 2:41
οἱ RA--NPM--- ὁ
ᾄδοντες V1--PAPNPM ᾄδω
υἱοὶ N2--NPM--- υἱός
Ασαφ N---GSM--- Ασαφ
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ὀκτώ M--------- ὀκτώ

Ezr 2:42
υἱοὶ N2--NPM--- υἱός
τῶν RA--GPM--- ὁ
πυλωρῶν N2--GPM--- πυλωρός
υἱοὶ N2--NPM--- υἱός
Σαλουμ N---GSM--- Σαλουμ
υἱοὶ N2--NPM--- υἱός
Ατηρ N---GSM--- Ατηρ
υἱοὶ N2--NPM--- υἱός
Τελμων N---GSM--- Τελμων
υἱοὶ N2--NPM--- υἱός
Ακουβ N---GSM--- Ακουβ
υἱοὶ N2--NPM--- υἱός
Ατιτα N---GSM--- Ατιτα
υἱοὶ N2--NPM--- υἱός
Σαβαου N---GSM--- Σαβαου
οἱ RA--NPM--- ὁ
πάντες A3--NPM--- πᾶς
ἑκατὸν M--------- ἑκατόν
τριάκοντα M--------- τριάκοντα
ἐννέα M--------- ἐννέα

Ezr 2:43
οἱ RA--NPM--- ὁ
ναθιναῖοι N---NPM--- ναθιναῖοι
υἱοὶ N2--NPM--- υἱός
Σουια N---GSM--- Σουια
υἱοὶ N2--NPM--- υἱός
Ασουφε N---GSM--- Ασουφε
υἱοὶ N2--NPM--- υἱός
Ταβαωθ N---GSM--- Ταβαωθ

Ezr 2:44
υἱοὶ N2--NPM--- υἱός
Κηραος N---GSM--- Κηραος
υἱοὶ N2--NPM--- υἱός
Σωηα N---GSM--- Σωηα
υἱοὶ N2--NPM--- υἱός
Φαδων N---GSM--- Φαδων

Ezr 2:45
υἱοὶ N2--NPM--- υἱός
Λαβανω N---GSM--- Λαβανω
υἱοὶ N2--NPM--- υἱός
Αγαβα N---GSM--- Αγαβα
υἱοὶ N2--NPM--- υἱός
Ακαβωθ N---GSM--- Ακαβωθ

Ezr 2:46
υἱοὶ N2--NPM--- υἱός
Αγαβ N---GSM--- Αγαβ
υἱοὶ N2--NPM--- υἱός
Σαμαλαι N---GSM--- Σαμαλαι
υἱοὶ N2--NPM--- υἱός
Αναν N---GSM--- Αναν

Ezr 2:47
υἱοὶ N2--NPM--- υἱός
Κεδελ N---GSM--- Κεδελ
υἱοὶ N2--NPM--- υἱός
Γαερ N---GSM--- Γαερ
υἱοὶ N2--NPM--- υἱός
Ρεηα N---GSM--- Ρεηα

Ezr 2:48
υἱοὶ N2--NPM--- υἱός
Ρασων N---GSM--- Ρασων
υἱοὶ N2--NPM--- υἱός
Νεκωδα N---GSM--- Νεκωδα
υἱοὶ N2--NPM--- υἱός
Γαζεμ N---GSM--- Γαζεμ

Ezr 2:49
υἱοὶ N2--NPM--- υἱός
Ουσα N---GSM--- Ουσα
υἱοὶ N2--NPM--- υἱός
Φαση N---GSM--- Φαση
υἱοὶ N2--NPM--- υἱός
Βασι N---GSM--- Βασι

Ezr 2:50
υἱοὶ N2--NPM--- υἱός
Ασενα N---GSM--- Ασενα
υἱοὶ N2--NPM--- υἱός
Μαωνιμ N---GSM--- Μαωνιμ
υἱοὶ N2--NPM--- υἱός
Ναφισων N---GSM--- Ναφισων

Ezr 2:51
υἱοὶ N2--NPM--- υἱός
Βακβουκ N---GSM--- Βακβουκ
υἱοὶ N2--NPM--- υἱός
Ακιφα N---GSM--- Ακιφα
υἱοὶ N2--NPM--- υἱός
Αρουρ N---GSM--- Αρουρ

Ezr 2:52
υἱοὶ N2--NPM--- υἱός
Βασαλωθ N---GSM--- Βασαλωθ
υἱοὶ N2--NPM--- υἱός
Μαουδα N---GSM--- Μαουδα
υἱοὶ N2--NPM--- υἱός
Αρησα N---GSM--- Αρησα

Ezr 2:53
υἱοὶ N2--NPM--- υἱός
Βαρκους N---GSM--- Βαρκους
υἱοὶ N2--NPM--- υἱός
Σισαρα N---GSM--- Σισαρα
υἱοὶ N2--NPM--- υἱός
Θεμα N---GSM--- Θεμα

Ezr 2:54
υἱοὶ N2--NPM--- υἱός
Νασουε N---GSM--- Νασουε
υἱοὶ N2--NPM--- υἱός
Ατουφα N---GSM--- Ατουφα

Ezr 2:55
υἱοὶ N2--NPM--- υἱός
Αβδησελμα N---GSM--- Αβδησελμα
υἱοὶ N2--NPM--- υἱός
Σατι N---GSM--- Σατι
υἱοὶ N2--NPM--- υἱός
Ασεφηραθ N---GSM--- Ασεφηραθ
υἱοὶ N2--NPM--- υἱός
Φαδουρα N---GSM--- Φαδουρα

Ezr 2:56
υἱοὶ N2--NPM--- υἱός
Ιεηλα N---GSM--- Ιεηλα
υἱοὶ N2--NPM--- υἱός
Δαρκων N---GSM--- Δαρκων
υἱοὶ N2--NPM--- υἱός
